"22.5.2013 13:27";"Kol Ami";"Authentic Israel";"GabiG@authenticisrael.com";"972542215454";"972587507000";"F7";"http://www.authenticisrael.com/";"https://www.facebook.com/pages/%D7%A7%D7%95%D7%9C-%D7%A2%D7%9E%D";"•Young Jews from Israel and around the world getting to know Isr";"F11";"18-22";"yes";"01/09/2013";"F15";"F16";"F17";"in months";"6";"all year round";"9500";"housing, full board, tuition";"leadership & activism training";"leadership & activism training, tour Israel, aliyah";"F25";"sports, politics, social issues & Israeli society, judaism, Isra";""volunteer opportunities, outdoor challenge, environment & Natur";"Enrichment activities & Fun, Volunteer, Study, Explore Israel's";"English";"Israel";"the north, Jerusalem and surrounding areas";"F32";"F33"
"03.04.2013 10:38";"Israel Public Diplomacy";"Real Life Israel";"info@reallifeisrael.com";"972-747-150-132";"972-2-6540740";"www.reallifeisrael.com";"http://www.reallifeisrael.com/israel-public-diplomacy/";"http://www.reallifeisrael.com/applicationform/";"This Jerusalem-based program is university credited, and brings theory to life by providing you with academic courses and in-depth tours and seminars around Israel by highly-acclaimed political experts. Come connect with political figures of all opinions, learn Hebrew, travel the country, and develop a well-informed, balanced understanding and ability to be an ambassador for Israel.";"semester to year programs for ages 18-30";"18-30";"yes";"28/08/2013";"13/01/2014";"";"";"in months";"4";"all year round";"9900";"housing, tuition";"academic study";"academic study, hebrew ulpan, leadership & activism training, tour Israel";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, educational seminars, environment & Nature, Jewish study, meet Israeli peers"";"volunteer, study, Enrichment activities & Fun, learn hebrew, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"24.03.2013 18:26";"Real Life Israel Research Fellowship";"Real Life Israel";"info@reallifeisrael.com";"1-855-6272-754";"+972-747-150-152";"www.reallifeisrael.com";"http://www.reallifeisrael.com/researchfellowship/";"http://www.reallifeisrael.com/applicationform/";"Spend 5 months living like a local in the heart of Jerusalem. Travel the country, learn Hebrew, experience Israeli culture, and enjoy its vibrant social scene. Live with like-minded individuals and perform research in your field of study with a professional mentor to guide you in developing your skills and knowledge.";"semester to year programs for ages 18-30";"23-30";"yes";"02/09/2013";"04/02/2014";"";"";"in months";"5";"all year round";"7800";"housing";"";"hebrew ulpan, tour Israel";"";"science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, educational seminars, environment & Nature, Israeli home hospitality, meet Israeli peers"";"volunteer, Enrichment activities & Fun, learn hebrew, travel";"English";"Israel";"all over the country";"";""
"24.03.2013 18:11";"Real Life Israel Summer";"Real Life Israel";"info@reallifeisrael.com";"1-855-6272-754";"+972-747-150-132";"www.reallifeisrael.com";"www.reallifeisrael.com";"http://www.reallifeisrael.com/applicationform/";"Make the most of your summer. Get placements in virtually any field or specialization in one of Israel’s top companies in Jerusalem. This is your chance to live like a local, build your resume, travel the country, learn Hebrew, and experience authentic Israeli culture and its vibrant social scene.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in weeks";"7";"summer";"2000";"housing";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, business, technology";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, business, technology";""placements"";"Volunteer, Enrichment activities & Fun,";"English";"Israel";"Jerusalem and surrounding areas";"";""
"24.03.2013 18:05";"Real Life Israel Program";"Real Life Israel";"info@reallifeisrael.com";"1-855-6272-754";"International: +972- 747-150-132";"www.reallifeisrael.com";"www.reallifeisrael.com";"http://www.reallifeisrael.com/applicationform/";"Spend 5 months living like a local in the heart of Jerusalem. Travel the country, learn Hebrew, experience Israeli culture, and its vibrant social scene. Live with fun like-minded individuals, and work in your field of study in companies that will give you valuable, hands-on work experience.";"semester to year programs for ages 18-30";"23-30";"yes";"02/09/2013";"04/02/2014";"";"";"in months";"5";"all year round";"7300";"housing";"";"hebrew ulpan, tour Israel";"";"politics, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business";""volunteer opportunities, placements, educational seminars, environment & Nature, Israeli home hospitality, meet Israeli peers"";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew,";"English";"Israel";"Jerusalem and surrounding areas";"";""
"07.03.2013 23:53";"Ultimate Youth Trip";"Ultimate Israel";"info@ultimateisrael.com";"1 855 858 4645";"1 212 444 1954";"http://ultimateisrael.com/";"http://ultimateisrael.com/programs/youth/";"http://ultimateisrael.com/contact-us/";"We give teens from every corner of the globe the ultimate camp experience, which furthers the goals of your organization, and provides each participant with a uniquely memorable experience. We take care of every last detail, and guarantee your young people an amazing opportunity for team-building, learning, and exploring.";"teen travel";"14-18";"no";"";"";"";"01/09/2013";"in days";"14";"all year round";"";"housing, full board";"summer camp";"academic study, hebrew ulpan, tour Israel, summer camp";"";"sports, arts, environment & nature, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, environment & Nature, Israeli home hospitality"";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew, study";"English";"Israel";"all over the country";"";""
"07.03.2013 23:46";"Ultimate Class Trip";"Ultimate Israel";"info@ultimateisrael.com";"1 855 858 4645";"1 212 444 1954";"http://www.ultimateisrael.com";"http://ultimateisrael.com/programs/school/";"http://ultimateisrael.com/contact-us/";"Give your youth a taste of the homeland second to none. Join us in helping young people develop life-long connections with each other, the land, and their heritage. With over 25 years of educational tourism experience, we offer the best in customer service, trip coordination, and itinerary building.";"teen travel";"14-18";"no";"";"";"";"01/09/2013";"in days";"14";"all year round";"";"housing, full board";"touring the country";"academic study, hebrew ulpan, tour Israel, summer camp, partnership together";"";"sports, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew, study, kibbutz experience";"English";"Israel";"all over the country";"";""
"05.03.2013 14:56";"BiTzil Business Administration";"Ariel University of Samaria";"d.nitza@ariel.ac.il";"0972-3-9066103";"";"http://www.ariel.ac.il";"http://www.ariel.ac.il";"http://www.ariel.ac.il";"The Ariel University Center’s ATZil (Academics, Torah, and Zionism) business administration program is designed for students with an interest in business administration and international marketing. You will work on a hands-on technology-oriented business project under the supervision of faculty or representatives of Israel’s business community. The program also includes formal and informal courses in Jewish and Israel studies. Participants have the option to participate in the Ariel community. Program graduates may elect to continue to full-time programs and earn a degree at the University. Credits can be used toward degree programs in Israel and are generally transferable to universities abroad.";"semester to year programs for ages 18-30";"18-22";"yes";"";"15/01/2014";"";"";"in months";"4";"all year round";"3000";"housing, flights, full board, tuition";"academic study";"academic study, hebrew ulpan, tour Israel";"";"sports, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology";""educational seminars, Israeli home hospitality, Jewish study, meet Israeli peers"";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew, study";"Russian";"Israel";"Tel aviv and surrounding areas";"";""
"05.03.2013 14:52";"ATZIL Communications";"Ariel University of Samaria";"d.nitza@ariel.ac.il";"972-3-9066103";"";"http://www.ariel.ac.il";"http://www.ariel.ac.il";"http://www.ariel.ac.il";"The Ariel University Center’s ATZil (Academics, Torah, and Zionism) communications program is designed for students with an interest in communications, advertising, and public relations. You will study digital media, television and film, radio journalism, and persuasive media and become familiar with the practical implementation of skills with leading Israeli professionals. You will also enjoy hands-on workshops in these fields, individual assistance from faculty and teaching assistants, and encounters with media, advertising, and PR professionals in Israel. Participants have the option of participating in the Ariel community. Program graduates may elect to continue to full-time programs and earn a degree at the University. Credits can be used toward degree programs in Israel and are generally transferable to universities abroad.";"semester to year programs for ages 18-30";"18-22";"yes";"";"25/01/2014";"";"";"in months";"4";"all year round";"8000";"housing, flights, full board, tuition";"academic study";"academic study, hebrew ulpan, tour Israel";"";"sports, social issues & Israeli society, judaism, Israeli history & Zionism, technology";""volunteer opportunities, educational seminars, Israeli home hospitality, Jewish study, meet Israeli peers"";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew, study";"Russian";"Israel";"Tel aviv and surrounding areas";"";""
"05.03.2013 14:47";"Computer Sciences, Technology, and Israeli history & Zionism";"Ariel University of Samaria";"d.nitza@ariel.ac.il";"972-3-9066103";"";"http://www.ariel.ac.il";"http://www.ariel.ac.il";"http://www.ariel.ac.il";"The Ariel University Center’s ATZil (Academics, Torah, and Zionism) computer science program is designed for students with an interest in, but with no or partial academic background in, computer sciences. Students enjoy hands-on workshops in these fields and individual assistance from faculty and teaching assistants. Selected courses from the department of computer science with an emphasis on Israel’s role in today’s global world of technology at Ariel University are taught in English, and Hebrew-speaking students can select courses from a wider range of programs offered at the university. Participants have the option to participate in the Ariel community. Program graduates may elect to continue to full-time programs and earn a degree at the University. Credits can be used toward degree programs in Israel and are generally transferable to universities abroad.";"semester to year programs for ages 18-30";"18-30";"yes";"";"15/01/2014";"15/06/2014";"15/01/2015";"in months";"4";"all year round";"250";"housing, flights, full board, tuition";"academic study";"academic study, hebrew ulpan, tour Israel";"";"sports, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology, spirituality";""volunteer opportunities, educational seminars, environment & Nature, Jewish study, meet Israeli peers"";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew, study";"Russian";"Israel";"Tel aviv and surrounding areas";"";""
"03.03.2013 14:15";"Hebrew and Israeli Culture Program";"Division of Undergraduate Studies- Rothberg International School";"risundergrad@savion.huji.ac.il";"972-2-5882610";"972-2-5881628";"http://www.overseas.huji.ac.il";"http://overseas.huji.ac.il/hicp";"http://overseas.huji.ac.il/undergrad";"This academic program designed for recent high school graduates will enable them to achieve a high degree of fluency in Modern Hebrew (on all Hebrew levels) through exposure to the language and culture of Israel. In addition to 8–14 weekly hours of Hebrew study, students will take courses in Israeli politics, culture, history, and society. Participants also enjoy study trips, guest lectures, and tours of Israel. The program is held on the beautiful Mt. Scopus campus of the Hebrew University, 15 minutes from downtown Jerusalem. All courses are accredited and upon completion of the program, students will receive a transcript in order to transfer credits to universities abroad, including ones in Australia, Europe, and North America. Students at the Rothberg International School hail from over 60 countries. They benefit from a wide range of services, including social, emotional, and academic support from a professional staff of dorm counselors, academic advisors, psychologists. and administrators.";"gap year (between high school and University)";"18-22";"yes";"28/08/2013";"21/01/2014";"";"";"in months";"";"all year round";"";"housing, tuition";"academic study";"academic study, hebrew ulpan, tour Israel";"";"politics, social issues & Israeli society, judaism, Israeli history & Zionism";"""";"explore Israel's heritage, learn hebrew, study, Enrichment activities & Fun";"English";"Israel";"Jerusalem and surrounding areas";"";""
