language,Content type New site,URL Category OLD site,New site taxonomy: Jewish Agency Vocabulary (Main Category),article type,News type,NewsTags,P2GSchoolCurriculumLessonPlanEnrichment/Lesson Plan,P2GedTypeOfResource,P2GedBaskets,P2GedTag,P2GSchoolAudiences,P2GSchoolLengthOfActivity,P2GSchoolContent,P2GedJewishMonths,years,number of pages,URL Category OLD site
English,Article,/Press+Releases/2009,News,News,,,,,,,,,,,,100,Press+Releases/2009
English,Article,/Press+Releases/2010,News,News,,,,,,,,,,,,100,Press+Releases/2010
English,Article,/Press+Releases/2011,News,News,,,,,,,,,,,,100,Press+Releases/2011
English,Article,/Press+Releases/2013,News,News,,,,,,,,,,,,50,Press+Releases/2013
English,Article,/Board+of+Governors/Board+Plenary+resolutions,Plenary Resolutions,Board of Governors,,,,,,,,,,,,100,Board+of+Governors/Board+Plenary+resolutions
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/slavery,Slavery,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/slavery
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/seder,Seder,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/seder
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/nisan,Nisan,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/nisan
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/prepare,Preparation,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/prepare
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/exodus,Leaving Egypt,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/exodus
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/revelation,Omer,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/revelation
English,Article,/Teacher+Outlines/From+Pesach+to+Shavuot/festival,Pesach,educational materials,,,,,,,,,,,,10,Teacher+Outlines/From+Pesach+to+Shavuot/festival
English,Article,/Teacher+Outlines/Tishre+Festivals,Tishrei,educational materials,,,,,,,,,,,,10,Teacher+Outlines/Tishre+Festivals
English,Article,/Teacher+Outlines/Tishre+Festivals/elul,Elul,educational materials,,,,,,,,,,,,10,Teacher+Outlines/Tishre+Festivals/elul
English,Article,/Teacher+Outlines/Tishre+Festivals/rosh,Rosh Hashanah,educational materials,,,,,,,,,,,,10,Teacher+Outlines/Tishre+Festivals/rosh
English,Article,/Teacher+Outlines/Tishre+Festivals/ten,Ten Days of Repentance,educational materials,,,,,,,,,,,,10,Teacher+Outlines/Tishre+Festivals/ten
English,Article,/Teacher+Outlines/Tishre+Festivals/kippur,Yom Kippur,educational materials,,,,,,,,,,,,10,Teacher+Outlines/Tishre+Festivals/kippur
